City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Max Temp K,Wind Speed
313,Inhambane,23,MZ,1593139532,87,-23.86,35.38,65,291.28,3.04
314,Olafsvik,98,IS,1593139532,80,64.89,-23.71,48,282.11,1.72
315,Abbeville,100,FR,1593139532,78,50.1,1.83,69,293.71,0.69
316,Geraldton,22,AU,1593139532,72,-28.77,114.6,66,292.15,4.1
317,Baturaja,15,ID,1593139532,64,-4.13,104.17,85,302.48,1.32
318,Lalibela,70,ET,1593139532,54,12.03,39.03,57,286.8,0.36
319,Tual,14,ID,1593139532,82,-5.67,132.75,81,300.1,7.82
320,Erdenet,15,MN,1593139532,45,49.03,104.08,70,294.23,2.16
321,Walvis Bay,0,NA,1593139532,87,-22.96,14.51,54,285.37,1.0
322,Bethel,1,US,1593139533,56,41.37,-73.41,72,295.15,2.1
323,Dustlik,0,UZ,1593139533,14,40.52,68.04,85,302.68,2.04
324,Camaná,18,PE,1593139533,78,-16.62,-72.71,62,289.6,3.1
325,Korla,57,CN,1593139533,77,41.76,86.15,70,294.26,4.2
326,Sayyan,5,YE,1593139533,41,15.17,44.32,63,290.48,0.98
327,Port Blair,100,IN,1593139533,74,11.67,92.75,84,302.23,5.48
328,Merauke,43,ID,1593139533,72,-8.47,140.33,83,301.72,3.91
329,Alyangula,74,AU,1593139533,42,-13.85,136.42,84,302.15,4.1
330,Mayor Pablo Lagerenza,100,PY,1593139533,42,-19.93,-60.77,63,290.32,4.17
331,Tuatapere,91,NZ,1593139431,64,-46.13,167.68,53,284.59,1.36
332,Palana,34,RU,1593139534,80,59.12,159.97,50,283.35,6.07
333,Tabas,0,IR,1593139534,17,33.6,56.92,84,302.15,1.0
334,Port Augusta,0,AU,1593139534,87,-32.5,137.77,59,288.15,1.0
335,Chiredzi,0,ZW,1593139534,89,-21.05,31.67,55,285.93,0.57
336,Lahat,0,ID,1593139534,59,-3.8,103.53,86,302.99,1.03
337,Nongstoin,100,IN,1593139534,100,25.52,91.27,66,291.95,3.55
338,Verkhoyansk,12,RU,1593139534,24,67.54,133.38,87,303.82,4.55
339,Zhanakorgan,89,KZ,1593139535,15,43.91,67.25,82,300.82,2.85
340,Husavik,90,IS,1593139535,87,66.04,-17.34,50,283.15,2.1
341,Kez,78,RU,1593139535,81,57.9,53.72,49,282.51,3.99
342,Lüderitz,78,NA,1593139535,87,-26.65,15.16,57,287.15,2.6
343,Assiut,0,EG,1593139535,57,27.18,31.18,75,297.15,4.1
344,Port Lincoln,0,AU,1593139535,66,-34.73,135.87,58,287.77,2.82
345,Zhangaözen,0,KZ,1593139264,40,43.3,52.8,75,296.87,8.92
346,Cayenne,61,GF,1593139535,100,4.93,-52.33,77,298.15,3.34
347,Roseburg,1,US,1593139535,34,43.22,-123.34,82,301.15,5.7
348,Pontes e Lacerda,100,BR,1593139536,96,-15.23,-59.34,69,293.85,1.14
349,Río Gallegos,13,AR,1593139536,100,-51.62,-69.22,27,270.15,4.6
